config,roi,ticks,instructions,cycles,dtlb_read_misses,dtlb_write_misses,itlb_misses,dwalk_4k,dwalk_16k,dwalk_32k,dwalk_64k,iwalk_4k,iwalk_16k,iwalk_32k,iwalk_64k
E,data16,18483579500,1066234,36967159,262156,4,1,262144,0,0,0,0,0,0,0
E,code16,18303467500,1067912,36606935,4,1,262148,0,0,0,0,262144,0,0,0
E,data32,18503505500,1079440,37007011,262161,5,1,262144,0,0,0,0,0,0,0
E,code32,18389416000,1090667,36778832,4,2,262149,0,0,0,0,262144,0,0,0
E,data64,18499985500,1075107,36999971,262158,4,1,262144,0,0,0,0,0,0,0
E,code64,18325640000,1072080,36651280,5,1,262148,0,0,0,0,262144,0,0,0
A,data16,18483854500,1066234,36967709,262156,4,1,262144,0,0,0,0,0,0,0
A,code16,18318326000,1067912,36636652,4,1,262148,0,0,0,0,262144,0,0,0
A,data32,18501964000,1079440,37003928,262161,5,1,262144,0,0,0,0,0,0,0
A,code32,18350500000,1078747,36701000,5,1,262148,0,0,0,0,262144,0,0,0
A,data64,17968604000,1075107,35937208,16398,4,1,0,0,0,16384,0,0,0,0
A,code64,17822866000,1072080,35645732,5,1,16388,0,0,0,0,0,0,0,16384
B,data16,18158110500,1066234,36316221,65548,4,1,0,65536,0,0,0,0,0,0
B,code16,18025210000,1067912,36050420,4,1,65540,0,0,0,0,0,65536,0,0
B,data32,18208267000,1087204,36416534,65555,5,1,0,65536,0,0,0,0,0,0
B,code32,18050608500,1078747,36101217,5,1,65540,0,0,0,0,0,65536,0,0
B,data64,17968612000,1075107,35937224,16398,4,1,0,0,0,16384,0,0,0,0
B,code64,17856369000,1084177,35712738,5,1,16389,0,0,0,0,0,0,0,16384
C,data16,18488158500,1066234,36976317,262156,4,1,262144,0,0,0,0,0,0,0
C,code16,18325234000,1067912,36650468,4,1,262148,0,0,0,0,262144,0,0,0
C,data32,18168993000,1079870,36337986,32785,5,1,0,0,32768,0,0,0,0,0
C,code32,18000300500,1079177,36000601,5,1,32772,0,0,0,0,0,0,32768,0
C,data64,17978784000,1075537,35957568,16398,4,1,0,0,0,16384,0,0,0,0
C,code64,17824997500,1072510,35649995,5,1,16388,0,0,0,0,0,0,0,16384
D,data16,18158042000,1066234,36316084,65548,4,1,0,65536,0,0,0,0,0,0
D,code16,18019016500,1067294,36038033,4,1,65540,0,0,0,0,0,65536,0,0
D,data32,18190766500,1086092,36381533,32787,5,1,0,0,32768,0,0,0,0,0
D,code32,18010467500,1078129,36020935,5,1,32772,0,0,0,0,0,0,32768,0
D,data64,17967550500,1074489,35935101,16398,4,1,0,0,0,16384,0,0,0,0
D,code64,17855799500,1079226,35711599,5,1,16388,0,0,0,0,0,0,0,16384
