entries,working_set_mib,roi,tick_gain_pct,miss_reduction_pct,b_misses,d_misses
32,1,data32,0.671176,99.734570,65554,174
32,1,code32,0.425946,49.996948,65540,32772
32,2,data32,0.336360,49.985508,65555,32787
32,2,code32,-0.469347,49.995423,65540,32773
32,4,data32,0.617566,49.982459,65559,32791
32,4,code32,0.667126,49.996948,65540,32772
32,8,data32,0.096945,49.986271,65554,32786
32,8,code32,0.111733,49.996948,65540,32772
32,16,data32,0.117008,49.989322,65558,32786
32,16,code32,0.218522,49.996186,65541,32773
32,32,data32,-0.019120,49.978643,65552,32790
32,32,code32,0.322431,49.996948,65540,32772
64,1,data32,0.006739,88.656716,335,38
64,1,code32,-0.098674,99.949649,65540,33
64,2,data32,0.342312,99.488979,65555,335
64,2,code32,0.371992,49.996186,65541,32773
64,4,data32,0.611765,49.982459,65559,32791
64,4,code32,0.663513,49.996948,65540,32772
64,8,data32,0.099959,49.986271,65554,32786
64,8,code32,0.216443,49.996948,65540,32772
64,16,data32,0.120018,49.989322,65558,32786
64,16,code32,0.267495,49.996186,65541,32773
64,32,data32,-0.100761,49.978643,65552,32790
64,32,code32,0.073331,49.995423,65540,32773
128,1,data32,0.004944,45.714286,70,38
128,1,code32,-0.263569,49.230769,65,33
128,2,data32,-0.018157,89.361702,658,70
128,2,code32,0.434592,99.900825,65541,65
128,4,data32,0.675045,98.798029,65559,788
128,4,code32,0.627274,49.996948,65540,32772
128,8,data32,0.094666,49.986271,65554,32786
128,8,code32,0.241423,49.996948,65540,32772
128,16,data32,0.094431,49.986271,65554,32786
128,16,code32,0.216944,49.996186,65541,32773
128,32,data32,0.106911,49.983221,65558,32790
128,32,code32,0.077871,49.995423,65540,32773
256,1,data32,0.004944,45.714286,70,38
256,1,code32,-0.263569,49.230769,65,33
256,2,data32,-0.021026,47.761194,134,70
256,2,code32,0.049215,49.612403,129,65
256,4,data32,0.018836,91.382637,1555,134
256,4,code32,0.691376,99.803174,65540,129
256,8,data32,1.870353,98.024529,65554,1295
256,8,code32,-0.153617,49.995423,65540,32773
256,16,data32,0.093104,49.986271,65554,32786
256,16,code32,0.373850,49.996186,65541,32773
256,32,data32,0.098635,49.983221,65558,32790
256,32,code32,0.074855,49.995423,65540,32773
512,1,data32,0.004944,45.714286,70,38
512,1,code32,-0.263569,49.230769,65,33
512,2,data32,-0.021026,47.761194,134,70
512,2,code32,0.049215,49.612403,129,65
512,4,data32,-0.000375,48.854962,262,134
512,4,code32,-0.003146,49.805447,257,129
512,8,data32,0.061733,89.821290,2574,262
512,8,code32,2.119675,99.607879,65541,257
512,16,data32,1.781645,96.073466,65554,2574
512,16,code32,0.445892,49.997711,65541,32772
512,32,data32,0.128779,49.983221,65558,32790
512,32,code32,0.073091,49.995423,65540,32773
1024,1,data32,0.004944,45.714286,70,38
1024,1,code32,-0.263569,49.230769,65,33
1024,2,data32,-0.021026,47.761194,134,70
1024,2,code32,0.049215,49.612403,129,65
1024,4,data32,-0.000375,48.854962,262,134
1024,4,code32,-0.003146,49.805447,257,129
1024,8,data32,0.009529,49.420849,518,262
1024,8,code32,0.049345,49.902534,513,257
1024,16,data32,0.131326,89.916294,5137,518
1024,16,code32,2.120531,99.217284,65541,513
1024,32,data32,1.679962,92.168767,65558,5134
1024,32,code32,0.130436,49.995423,65540,32773
