entries,config,working_set_mib,roi,ticks,instructions,cycles,dtlb_read_misses,dtlb_write_misses,itlb_misses,dwalk_4k,dwalk_16k,dwalk_32k,dwalk_64k,iwalk_4k,iwalk_16k,iwalk_32k,iwalk_64k
32,B,1,data32,18083176500,1293308,36166353,65550,4,1,0,65536,0,0,0,0,0,0
32,B,1,code32,17118373500,1081261,34236747,4,2,65540,0,0,0,0,0,65536,0,0
32,B,2,data32,17845483000,1080973,35690966,65550,5,1,0,65536,0,0,0,0,0,0
32,B,2,code32,17496441500,1071274,34992883,5,1,65540,0,0,0,0,0,65536,0,0
32,B,4,data32,17972331500,1091184,35944663,65553,6,1,0,65536,0,0,0,0,0,0
32,B,4,code32,17738111000,1077755,35476222,4,2,65540,0,0,0,0,0,65536,0,0
32,B,8,data32,18155627500,1072361,36311255,65550,4,1,0,65536,0,0,0,0,0,0
32,B,8,code32,17981193500,1070260,35962387,5,1,65540,0,0,0,0,0,65536,0,0
32,B,16,data32,18175278000,1077170,36350556,65553,5,1,0,65536,0,0,0,0,0,0
32,B,16,code32,18077621000,1083516,36155242,4,2,65541,0,0,0,0,0,65536,0,0
32,B,32,data32,18185125500,1066110,36370251,65548,4,1,0,65536,0,0,0,0,0,0
32,B,32,code32,18061081000,1067236,36122162,4,1,65540,0,0,0,0,0,65536,0,0
32,D,1,data32,17961806500,1293926,35923613,170,4,1,0,0,156,0,0,0,0,0
32,D,1,code32,17045458500,1074964,34090917,5,1,32772,0,0,0,0,0,0,32768,0
32,D,2,data32,17785458000,1082440,35570916,32782,5,1,0,0,32768,0,0,0,0,0
32,D,2,code32,17578560500,1083812,35157121,4,2,32773,0,0,0,0,0,0,32768,0
32,D,4,data32,17861340500,1091802,35722681,32785,6,1,0,0,32768,0,0,0,0,0
32,D,4,code32,17619775500,1078373,35239551,4,2,32772,0,0,0,0,0,0,32768,0
32,D,8,data32,18138026500,1072979,36276053,32782,4,1,0,0,32768,0,0,0,0,0
32,D,8,code32,17961102500,1070878,35922205,5,1,32772,0,0,0,0,0,0,32768,0
32,D,16,data32,18154011500,1073455,36308023,32782,4,1,0,0,32768,0,0,0,0,0
32,D,16,code32,18038117500,1084311,36076235,5,1,32773,0,0,0,0,0,0,32768,0
32,D,32,data32,18188602500,1079316,36377205,32785,5,1,0,0,32768,0,0,0,0,0
32,D,32,code32,18002846500,1066111,36005693,3,1,32772,0,0,0,0,0,0,32768,0
64,B,1,data32,17962801500,1293308,35925603,331,4,1,0,317,0,0,0,0,0,0
64,B,1,code32,17013095500,1073497,34026191,4,1,65540,0,0,0,0,0,65536,0,0
64,B,2,data32,17842778000,1080973,35685556,65550,5,1,0,65536,0,0,0,0,0,0
64,B,2,code32,17642179500,1083194,35284359,4,2,65541,0,0,0,0,0,65536,0,0
64,B,4,data32,17971361500,1091184,35942723,65553,6,1,0,65536,0,0,0,0,0,0
64,B,4,code32,17737870500,1077755,35475741,4,2,65540,0,0,0,0,0,65536,0,0
64,B,8,data32,18155906000,1072361,36311812,65550,4,1,0,65536,0,0,0,0,0,0
64,B,8,code32,17980925000,1070260,35961850,5,1,65540,0,0,0,0,0,65536,0,0
64,B,16,data32,18175556500,1077170,36351113,65553,5,1,0,65536,0,0,0,0,0,0
64,B,16,code32,18075851000,1083516,36151702,4,2,65541,0,0,0,0,0,65536,0,0
64,B,32,data32,18170704500,1066110,36341409,65548,4,1,0,65536,0,0,0,0,0,0
64,B,32,code32,18061216000,1067236,36122432,4,1,65540,0,0,0,0,0,65536,0,0
64,D,1,data32,17961591000,1293926,35923182,37,1,1,0,0,32,0,0,0,0,0
64,D,1,code32,17029883000,1074964,34059766,5,1,33,0,0,0,0,0,0,32,0
64,D,2,data32,17781700000,1082440,35563400,330,5,1,0,0,316,0,0,0,0,0
64,D,2,code32,17576552000,1083812,35153104,4,2,32773,0,0,0,0,0,0,32768,0
64,D,4,data32,17861419000,1091802,35722838,32785,6,1,0,0,32768,0,0,0,0,0
64,D,4,code32,17620177500,1078373,35240355,4,2,32772,0,0,0,0,0,0,32768,0
64,D,8,data32,18137757500,1072979,36275515,32782,4,1,0,0,32768,0,0,0,0,0
64,D,8,code32,17942006500,1070878,35884013,5,1,32772,0,0,0,0,0,0,32768,0
64,D,16,data32,18153742500,1073455,36307485,32782,4,1,0,0,32768,0,0,0,0,0
64,D,16,code32,18027499000,1084311,36054998,5,1,32773,0,0,0,0,0,0,32768,0
64,D,32,data32,18189013500,1079316,36378027,32785,5,1,0,0,32768,0,0,0,0,0
64,D,32,code32,18047971500,1079805,36095943,5,1,32773,0,0,0,0,0,0,32768,0
128,B,1,data32,17962479000,1293308,35924958,69,1,1,0,64,0,0,0,0,0,0
128,B,1,code32,16985115500,1073497,33970231,4,1,65,0,0,0,0,0,64,0,0
128,B,2,data32,17778418500,1080973,35556837,653,5,1,0,639,0,0,0,0,0,0
128,B,2,code32,17652996000,1083194,35305992,4,2,65541,0,0,0,0,0,65536,0,0
128,B,4,data32,17971846500,1091184,35943693,65553,6,1,0,65536,0,0,0,0,0,0
128,B,4,code32,17738832500,1077755,35477665,4,2,65540,0,0,0,0,0,65536,0,0
128,B,8,data32,18155491500,1072361,36310983,65550,4,1,0,65536,0,0,0,0,0,0
128,B,8,code32,17981738500,1070260,35963477,5,1,65540,0,0,0,0,0,65536,0,0
128,B,16,data32,18171478500,1072837,36342957,65550,4,1,0,65536,0,0,0,0,0,0
128,B,16,code32,18066387500,1083693,36132775,5,1,65541,0,0,0,0,0,65536,0,0
128,B,32,data32,18207665000,1078698,36415330,65553,5,1,0,65536,0,0,0,0,0,0
128,B,32,code32,18061216000,1067236,36122432,4,1,65540,0,0,0,0,0,65536,0,0
128,D,1,data32,17961591000,1293926,35923182,37,1,1,0,0,32,0,0,0,0,0
128,D,1,code32,17029883000,1074964,34059766,5,1,33,0,0,0,0,0,0,32,0
128,D,2,data32,17781646500,1082440,35563293,68,2,1,0,0,64,0,0,0,0,0
128,D,2,code32,17576277500,1083812,35152555,4,2,65,0,0,0,0,0,0,64,0
128,D,4,data32,17850528500,1091802,35701057,782,6,1,0,0,765,0,0,0,0,0
128,D,4,code32,17627561500,1078373,35255123,4,2,32772,0,0,0,0,0,0,32768,0
128,D,8,data32,18138304500,1072979,36276609,32782,4,1,0,0,32768,0,0,0,0,0
128,D,8,code32,17938326500,1070878,35876653,5,1,32772,0,0,0,0,0,0,32768,0
128,D,16,data32,18154319000,1073455,36308638,32782,4,1,0,0,32768,0,0,0,0,0
128,D,16,code32,18027193500,1084311,36054387,5,1,32773,0,0,0,0,0,0,32768,0
128,D,32,data32,18188199000,1079316,36376398,32785,5,1,0,0,32768,0,0,0,0,0
128,D,32,code32,18047151500,1079805,36094303,5,1,32773,0,0,0,0,0,0,32768,0
256,B,1,data32,17962479000,1293308,35924958,69,1,1,0,64,0,0,0,0,0,0
256,B,1,code32,16985115500,1073497,33970231,4,1,65,0,0,0,0,0,64,0,0
256,B,2,data32,17777908500,1080973,35555817,132,2,1,0,128,0,0,0,0,0,0
256,B,2,code32,17584932000,1083194,35169864,4,2,129,0,0,0,0,0,128,0,0
256,B,4,data32,17851588500,1091184,35703177,1549,6,1,0,1532,0,0,0,0,0,0
256,B,4,code32,17735501500,1077755,35471003,4,2,65540,0,0,0,0,0,65536,0,0
256,B,8,data32,18155078500,1072361,36310157,65550,4,1,0,65536,0,0,0,0,0,0
256,B,8,code32,17980782000,1070260,35961564,5,1,65540,0,0,0,0,0,65536,0,0
256,B,16,data32,18171064000,1072837,36342128,65550,4,1,0,65536,0,0,0,0,0,0
256,B,16,code32,18064591500,1083693,36129183,5,1,65541,0,0,0,0,0,65536,0,0
256,B,32,data32,18206972000,1078698,36413944,65553,5,1,0,65536,0,0,0,0,0,0
256,B,32,code32,18060947500,1067236,36121895,4,1,65540,0,0,0,0,0,65536,0,0
256,D,1,data32,17961591000,1293926,35923182,37,1,1,0,0,32,0,0,0,0,0
256,D,1,code32,17029883000,1074964,34059766,5,1,33,0,0,0,0,0,0,32,0
256,D,2,data32,17781646500,1082440,35563293,68,2,1,0,0,64,0,0,0,0,0
256,D,2,code32,17576277500,1083812,35152555,4,2,65,0,0,0,0,0,0,64,0
256,D,4,data32,17848226000,1091802,35696452,132,2,1,0,0,128,0,0,0,0,0
256,D,4,code32,17612882500,1078373,35225765,4,2,129,0,0,0,0,0,0,128,0
256,D,8,data32,17815514500,1072979,35631029,1291,4,1,0,0,1277,0,0,0,0,0
256,D,8,code32,18008403500,1082798,36016807,4,2,32773,0,0,0,0,0,0,32768,0
256,D,16,data32,18154146000,1073455,36308292,32782,4,1,0,0,32768,0,0,0,0,0
256,D,16,code32,17997057000,1076547,35994114,5,1,32773,0,0,0,0,0,0,32768,0
256,D,32,data32,18189013500,1079316,36378027,32785,5,1,0,0,32768,0,0,0,0,0
256,D,32,code32,18047428000,1079805,36094856,5,1,32773,0,0,0,0,0,0,32768,0
512,B,1,data32,17962479000,1293308,35924958,69,1,1,0,64,0,0,0,0,0,0
512,B,1,code32,16985115500,1073497,33970231,4,1,65,0,0,0,0,0,64,0,0
512,B,2,data32,17777908500,1080973,35555817,132,2,1,0,128,0,0,0,0,0,0
512,B,2,code32,17584932000,1083194,35169864,4,2,129,0,0,0,0,0,128,0,0
512,B,4,data32,17848159000,1091184,35696318,260,2,1,0,256,0,0,0,0,0,0
512,B,4,code32,17611808000,1077755,35223616,4,2,257,0,0,0,0,0,256,0,0
512,B,8,data32,17817807000,1072361,35635614,2570,4,1,0,2556,0,0,0,0,0,0
512,B,8,code32,18050475500,1082180,36100951,4,2,65541,0,0,0,0,0,65536,0,0
512,B,16,data32,18170568500,1072837,36341137,65550,4,1,0,65536,0,0,0,0,0,0
512,B,16,code32,18068736500,1083693,36137473,5,1,65541,0,0,0,0,0,65536,0,0
512,B,32,data32,18206837500,1078698,36413675,65553,5,1,0,65536,0,0,0,0,0,0
512,B,32,code32,18053563500,1066111,36107127,3,1,65540,0,0,0,0,0,65536,0,0
512,D,1,data32,17961591000,1293926,35923182,37,1,1,0,0,32,0,0,0,0,0
512,D,1,code32,17029883000,1074964,34059766,5,1,33,0,0,0,0,0,0,32,0
512,D,2,data32,17781646500,1082440,35563293,68,2,1,0,0,64,0,0,0,0,0
512,D,2,code32,17576277500,1083812,35152555,4,2,65,0,0,0,0,0,0,64,0
512,D,4,data32,17848226000,1091802,35696452,132,2,1,0,0,128,0,0,0,0,0
512,D,4,code32,17612362000,1078373,35224724,4,2,129,0,0,0,0,0,0,128,0
512,D,8,data32,17806807500,1072979,35613615,261,1,1,0,0,256,0,0,0,0,0
512,D,8,code32,17667864000,1082798,35335728,4,2,257,0,0,0,0,0,0,256,0
512,D,16,data32,17846833500,1073455,35693667,2570,4,1,0,0,2556,0,0,0,0,0
512,D,16,code32,17988169500,1072214,35976339,5,1,32772,0,0,0,0,0,0,32768,0
512,D,32,data32,18183391000,1075148,36366782,32785,5,1,0,0,32768,0,0,0,0,0
512,D,32,code32,18040368000,1079805,36080736,5,1,32773,0,0,0,0,0,0,32768,0
1024,B,1,data32,17962479000,1293308,35924958,69,1,1,0,64,0,0,0,0,0,0
1024,B,1,code32,16985115500,1073497,33970231,4,1,65,0,0,0,0,0,64,0,0
1024,B,2,data32,17777908500,1080973,35555817,132,2,1,0,128,0,0,0,0,0,0
1024,B,2,code32,17584932000,1083194,35169864,4,2,129,0,0,0,0,0,128,0,0
1024,B,4,data32,17848159000,1091184,35696318,260,2,1,0,256,0,0,0,0,0,0
1024,B,4,code32,17611808000,1077755,35223616,4,2,257,0,0,0,0,0,256,0,0
1024,B,8,data32,17808504500,1072361,35617009,517,1,1,0,512,0,0,0,0,0,0
1024,B,8,code32,17676706000,1082180,35353412,4,2,513,0,0,0,0,0,512,0,0
1024,B,16,data32,17848764000,1072837,35697528,5133,4,1,0,5119,0,0,0,0,0,0
1024,B,16,code32,18032885000,1075929,36065770,5,1,65541,0,0,0,0,0,65536,0,0
1024,B,32,data32,18206180500,1078698,36412361,65553,5,1,0,65536,0,0,0,0,0,0
1024,B,32,code32,18052885000,1066111,36105770,3,1,65540,0,0,0,0,0,65536,0,0
1024,D,1,data32,17961591000,1293926,35923182,37,1,1,0,0,32,0,0,0,0,0
1024,D,1,code32,17029883000,1074964,34059766,5,1,33,0,0,0,0,0,0,32,0
1024,D,2,data32,17781646500,1082440,35563293,68,2,1,0,0,64,0,0,0,0,0
1024,D,2,code32,17576277500,1083812,35152555,4,2,65,0,0,0,0,0,0,64,0
1024,D,4,data32,17848226000,1091802,35696452,132,2,1,0,0,128,0,0,0,0,0
1024,D,4,code32,17612362000,1078373,35224724,4,2,129,0,0,0,0,0,0,128,0
